customerDomain,Product,skuName,Creation date (PST),status,planName,Renewal date (PST),licensedNumberOfSeats,maximumNumberOfSeats,Customer uid,customerId,subscriptionId
proximaal.nl,Google Workspace,Google Workspace Business Starter,"September 14, 2021",Active,Flexible Plan,-,7,50000,Svikg6K4k1vGdB,C00k5ws69,3123628783
pureairepro.com,Google Workspace,Google Workspace Business Starter,"February 9, 2021",Active,Flexible Plan,-,2,2,SSFWCAtFLGde5P,C00p9rzw6,2468700269
pushpakgrande.com,-,-,-,-,-,-,0,0,SnpyMW342Pq6MY,C04l7yobz,-
pyramid-cms.com,Google Workspace,Google Workspace Business Starter,"December 11, 2020",Active,Flexible Plan,-,3,3,SHn2IbUIZqcd8l,C00xnjkna,2278528073
qspices.in,Google Workspace,Google Workspace Business Starter,"March 24, 2022",Active,Flexible Plan,-,6,6,SwJNUWDPos99e9,C01h5eb99,3677978334
quadcubes.com,Google Workspace,Google Workspace Business Starter,"September 2, 2021",Active,Flexible Plan,-,7,9,SZ65Sk90w6W8hY,C0178ykoq,3090241513
quidei.com,-,-,-,-,-,-,0,0,SA2xG4DX2nskUT,C012sq3hw,-
raatarabia.com,Google Workspace,Google Workspace Business Starter,"March 21, 2022",Active,Flexible Plan,-,6,6,SyJEjl956q27yH,C01fcwmls,3667048127
radiumengg.com,Google Workspace,Google Workspace Business Starter,"March 21, 2022",Active,Flexible Plan,-,2,2,SNOBfZcegoGuL0,C01sygp6t,3667840108
rainbowadsco.com,-,-,-,-,-,-,0,0,Sn2OOH8qukAdsI,C026zo6mu,-
ranium.in,Google Workspace,Google Workspace Business Starter,"March 21, 2022",Active,Flexible Plan,-,33,100,SoZc40woe3lgUe,C00hc6y9e,3667814975
rapidbrown.com,Google Workspace,Google Workspace Business Starter,"March 21, 2022",Active,Flexible Plan,-,1,1,SzCOiWATVAJCwm,C020vbxwx,3667755718
rapposol.com,Google Workspace,Google Workspace Business Starter,"July 16, 2021",Active,Flexible Plan,-,3,3,STmFofvXbvJgHC,C03uvui1f,2966074194
rasheedahammed.com,Google Workspace,Google Workspace Business Starter,"March 21, 2022",Active,Flexible Plan,-,1,1,SmPRA0bFWWpzR0,C03xefees,3666968066
rayomartin.com,Google Workspace,Google Workspace Business Starter,"March 21, 2022",Active,Flexible Plan,-,12,12,SNhYC2R5uWo7WH,C02ivyz8e,3666744176
rbcglobal.in,Google Workspace,Google Workspace Business Starter,"March 21, 2022",Active,Flexible Plan,-,1,1,SKX8B6xU0d0S5E,C022mwboa,3667920242
reachadagency.com,Google Workspace,Google Workspace Business Starter,"March 23, 2022",Active,Flexible Plan,-,1,1,SsGmVvaejW9fqL,C02embzyy,3674449313
redberryglobals.com,Google Workspace,Google Workspace Business Starter,"March 21, 2022",Active,Flexible Plan,-,2,3,SdeMVtpiK9wPsi,C00zstarw,3667661622
redbun.in,Google Workspace,Google Workspace Business Starter,"March 21, 2022",Active,Flexible Plan,-,1,1,SYha9IsOdC3UK6,C018zhk4b,3667273888
reddog.live,-,-,-,-,-,-,0,0,Sjj6l8Ra15ameE,-,-
redteamacademy.com,Google Workspace,Google Workspace Business Starter,"February 1, 2022",Active,Flexible Plan,-,47,47,SLg5LcOjgOMVvH,C01v2gb74,3528332056
redteamsummit.org,-,-,-,-,-,-,0,0,SrpwwInM3YqqX7,C040pxr4l,-
reimsinfotech.com,-,-,-,-,-,-,0,0,Syo22Eaow8dQkw,C04ck6mgz,-
reliableintllc.com,Google Workspace,Google Workspace Business Starter,"March 21, 2022",Active,Flexible Plan,-,24,24,SECYyF3HhAgjt5,C01tz2d7i,3667713893
remarkabletearssafari.com,Google Workspace,Google Workspace Business Starter,"July 3, 2021",Active,Flexible Plan,-,2,300,SXdXK6zu7JmvAs,C01gtizkq,2932747191
renadit.com,-,-,-,-,-,-,0,0,Sdhxmf4AGnX3IW,-,-
resetkerala.org,-,-,-,-,-,-,0,0,S6rvM2BBVxFiB1,-,-
resettalents.in,-,-,-,-,-,-,0,0,SCOBMJ5PEhiJu2,C0290gnvm,-
rgrill.com,Google Workspace,Google Workspace Business Starter,"November 17, 2021",Active,Flexible Plan,-,1,1,SxTWGlUGHgJKWc,C04eoarxn,3315424415
rgsksa.com,-,-,-,-,-,-,0,0,SBQzcUlJwRPLfH,C01q9isjb,-
risedigital.me,Google Workspace,Google Workspace Business Starter,"March 21, 2022",Active,Flexible Plan,-,2,2,SXMbTk2BFRp735,C00j0ip7r,3667457378
rkale.com,-,-,-,-,-,-,0,0,Su0rL3dWc7bF6L,C01vstwir,-
robinhood.travel,Google Workspace,Google Workspace Business Starter,"March 21, 2022",Active,Flexible Plan,-,2,2,SFSVpgHihbrKNx,C043qfkle,3667031678
